"","Metadata_Stiffness","Metadata_Experiment","Metadata_Row","Metadata_Treatment","Metadata_Column","Metadata_Ratio","Metadata_ECMs","Abb_ECM","Mean_Nuclei","SD_Nuclei","Mean_logNuclei","SD_logNuclei","Mean_Green","SD_Green","Mean_Green_Norm","SD_Green_Norm","Mean_Red","SD_Red","Mean_Red_Norm","SD_Red_Norm","Mean_Orange","SD_Orange","Mean_Orange_Norm","SD_Orange_Norm"
"287","1kPa","E2","04","10 uM","10","50/50","Tenascin COsteopontin","TCOPN",310.555555555556,95.168272023821,5.67995104203723,0.328155747747207,0.135723773169287,0.0486324359003066,0.158279330769072,0.0506887085840396,0.0520283923909135,0.0318340061143691,0.0561651698872774,0.0369799778455119,0.0738354553816939,0.02392950320519,0.0986726333222922,0.0319017799281016
"288","1kPa","E2","04","10 uM","11","50/50","Collagen ILaminin","C1LN",5.38888888888889,5.56277308942621,1.4051253533941,0.917518357542842,0.111559532519243,0.0389863478708554,0.131698318737661,0.0433102530630929,0.0407579326648828,0.0213984377723117,0.0432860697962612,0.0249029442878399,0.0751559646116873,0.0218685982940838,0.0995985102950195,0.0292139470323825
"289","1kPa","E2","04","10 uM","12","50/50","Collagen IDecorin","C1DN",8.77777777777778,15.0406855635713,1.32334627073624,1.40577197287497,0.151728512337912,NA,0.17658178538325,NA,0.0813326277390897,NA,0.0903449029753914,NA,0.106965666135102,NA,0.140228740467363,NA
"290","1kPa","E2","04","DMSO","02","100","Laminin","LN",132.444444444444,111.581559607511,3.86229585113833,1.6385318426725,0.145440942464187,NA,0.165079981624889,NA,0.0800319656699122,NA,0.0891705807242542,NA,0.0893701051026563,NA,0.118476381628243,NA
"291","1kPa","E2","04","DMSO","03","50/50","LamininGalectin 3","LNG3",523.277777777778,90.3754514357866,6.17386991068975,0.190197785204827,0.132393736876416,0.0463488850747108,0.153450180768477,0.048071650889452,0.0770402567381314,0.0488441097606221,0.0853370075435854,0.0557129592166569,0.0756562064878288,0.0236641388312881,0.100706546461654,0.0298985392539873
"292","1kPa","E2","04","DMSO","04","75/25","Collagen IHyaluronic Acid","C1HA",12.7777777777778,NA,2.32611154384393,NA,0.193412100930387,0.0805693560969549,0.215560266761783,0.0815910733210537,0.113836766721163,0.052171392121655,0.12791808506137,0.0597492378200204,0.127216550103772,0.0418136101398955,0.173857770737509,0.0620930623463184
"293","1kPa","E2","04","DMSO","05","50/50","Collagen IVFibronectin","C4FN",15.9444444444444,24.8718939992738,2.12704754103301,0.691239825650321,0.153441436673762,0.102952782439511,0.173526840364292,0.109444538190118,0.105284677334616,0.079450320143283,0.118222600807158,0.0905696095729842,0.100439088733911,0.0631610764177432,0.13668998048958,0.0897677390952992
"294","1kPa","E2","04","DMSO","06","25/75","Galectin 3Fibronectin","G3FN",121.833333333333,35.1449379949185,4.47885315971181,0.450272037932189,0.194289726820142,0.0695737406547464,0.214115771636808,0.0729792811505573,0.115088169841906,0.0675137514040914,0.129573423802679,0.0750664916662605,0.0930121540645275,0.0344089234576805,0.124956392140338,0.0485745618894566
"295","1kPa","E2","04","DMSO","07","25/75","LamininGalectin 3","LNG3",9.94444444444444,3.0092450142113,1.85437848912023,0.366398037331949,0.154774947569605,NA,0.176893352398554,NA,0.101619553808021,NA,0.113860235315606,NA,0.0849788380906192,NA,0.112504967992587,NA
"296","1kPa","E2","04","DMSO","08","50/50","Collagen IGalectin 3","C1G3",20.9444444444444,17.2352996943934,2.38502519276585,1.15721482782551,0.150237832944943,NA,0.169888278072867,NA,0.0806444822369836,NA,0.0902361065205869,NA,0.100516832816434,NA,0.138185486331451,NA
"297","1kPa","E2","04","DMSO","09","50/50","Collagen IVTenascin C","C4TC",70.8888888888889,48.5191829188323,3.68531399547874,0.747923718602853,0.217448835361672,0.0717670004511533,0.240698795094015,0.0799197835687462,0.117735289130704,0.0630303026314606,0.132216449386965,0.0707258308334352,0.109043161212893,0.0308818004265853,0.148091575539577,0.0477421938156648
"298","1kPa","E2","04","DMSO","10","50/50","Tenascin COsteopontin","TCOPN",432.5,106.40828079723,5.98594374044817,0.252417196029803,0.146421159649493,0.0573883814189689,0.168354400783554,0.0580949074935371,0.0925039945651169,0.0496138458289808,0.103337598721062,0.0566106406333956,0.0711769207909284,0.0264181844258921,0.095327614787728,0.0348819585053124
"299","1kPa","E2","04","DMSO","11","50/50","Collagen ILaminin","C1LN",68.7777777777778,85.6627755277116,3.38094884474926,1.02972959213056,0.0927317236002168,0.0543408270440052,0.106179983063952,0.0573201332414929,0.0532310343003851,0.057201973805303,0.0580346320744107,0.0645628683925863,0.0482266116136302,0.0275152412723396,0.0635783370792073,0.0360859098885589
"300","1kPa","E2","04","DMSO","12","50/50","Collagen IDecorin","C1DN",58.4444444444444,49.0147370129071,3.15274923661152,0.986497373562004,0.0836284356042571,0.0312526495380391,0.0988151346924134,0.0350622685780494,0.0632719911959046,0.0529118054557379,0.0694518278903371,0.0599410262884027,0.0501283274256697,0.0402963254808693,0.0676680346729491,0.0540303325061647
"301","1kPa","E2","05","10 uM","02","75/25","Tenascin COsteopontin","TCOPN",160.222222222222,24.9510632149325,5.05837770599236,0.156618033372816,0.106273655888313,0.0379913785298745,0.126714602554195,0.0409995513097788,0.0466193055713555,0.0334784406421065,0.0495912480699811,0.0386658633337803,0.0729754847852712,0.0255735998382635,0.0976293513352655,0.0339713861936764
"302","1kPa","E2","05","10 uM","03","25/75","Tenascin CGalectin 3","TCG3",19.5,20.7297424543148,2.56176781957161,1.18790066967614,0.163099447453556,0.0831003777424929,0.18203337014177,0.0901747741125825,0.046072594675325,0.0325591875259544,0.0491339855976427,0.0376774868377107,0.10639863199117,0.0531219656444012,0.149673944452884,0.0844584336181009
"303","1kPa","E2","05","10 uM","04","75/25","Hyaluronic AcidGalectin 3","HAG3",193.333333333333,40.4626027613428,5.22782962403322,0.250776290893453,0.108580455808578,0.0377543940545837,0.129444104507759,0.0405787540823508,0.0466976161588989,0.0282685451486444,0.0497550183773832,0.0332094890186015,0.0644762984388,0.0251220883738553,0.0870209188823747,0.0345243875428323
"304","1kPa","E2","05","10 uM","05","50/50","Tenascin CHyaluronic Acid","TCHA",15.7777777777778,30.7372376406498,1.67373269320801,1.63776283984921,0.125152482097304,NA,0.146025673649176,NA,0.0488093025303506,NA,0.0522873019146914,NA,0.083128552058591,NA,0.110756173090339,NA
"305","1kPa","E2","05","10 uM","06","75/25","Tenascin CGalectin 3","TCG3",37.1111111111111,40.153870714208,3.18495897793218,1.04728371817208,0.151232364948469,0.0591720069745024,0.173343743403901,0.0613524281116102,0.0648394146733914,0.0430543352128313,0.0709976199334965,0.0499237291229827,0.0829123430808956,0.0284147946775853,0.109651583806539,0.0383302565004451
"306","1kPa","E2","05","10 uM","07","50/50","Collagen IVHyaluronic Acid","C4HA",11.4444444444444,17.6855245265097,1.77354031165853,1.21809467311514,0.12639140993719,NA,0.145068320023185,NA,0.0505402921994329,NA,0.0549721799589548,NA,0.0818586107290811,NA,0.107588826810908,NA
"307","1kPa","E2","05","10 uM","08","50/50","LamininTenascin C","LNTC",17,21.1581347634111,2.19849506809887,1.10875972344076,0.131774828054525,NA,0.152263733131206,NA,0.0430371474811864,NA,0.0465121870276373,NA,0.0892705921476502,NA,0.118451497676174,NA
"308","1kPa","E2","05","10 uM","09","25/75","Collagen IVLaminin","C4LN",30.5,NA,2.00843978383193,NA,0.120307305912331,0.0289576071612805,0.139807559954034,0.031998594006785,0.0432844096440324,0.0176567719839088,0.047339245263693,0.0199744652038944,0.0976445142280337,0.0320216894896849,0.128896919658544,0.0484732243907399
"309","1kPa","E2","05","10 uM","10","50/50","Collagen IFibronectin","C1FN",19.5555555555556,26.8927912687066,1.99883308309317,1.39464151935856,0.138221647903653,NA,0.158455680155703,NA,0.048635417399716,NA,0.0532302206912847,NA,0.0898890524428166,NA,0.121502426534686,NA
"310","1kPa","E2","05","10 uM","11","25/75","Collagen ILaminin","C1LN",31.1666666666667,22.9649491375202,2.68195002323952,0.689131669692447,0.127495275427827,NA,0.150523901835288,NA,0.0413247717155721,NA,0.0440065555338167,NA,0.0699495419638278,NA,0.0939797658052355,NA
"311","1kPa","E2","05","10 uM","12","75/25","Collagen IFibronectin","C1FN",293.666666666667,101.534887271978,5.61849235391997,0.32002595030825,0.118396323228106,0.0420221632163416,0.140083337504544,0.0441709322277428,0.0462969139473564,0.03091065925445,0.0493293377151564,0.0357733585150491,0.0650382186881827,0.0286855681882376,0.0876045478732435,0.0377735198473146
"312","1kPa","E2","05","DMSO","02","75/25","Tenascin COsteopontin","TCOPN",195.555555555556,24.7812653250618,5.22884120456579,0.115284584315828,0.163982953617779,0.0488715863005807,0.186727973759316,0.0495509234805113,0.0940280905727819,0.0575761426013769,0.104984402527159,0.0653719617602669,0.105481233920721,0.0312632428939832,0.138586773158999,0.0423807349414645
"313","1kPa","E2","05","DMSO","03","25/75","Tenascin CGalectin 3","TCG3",32.6666666666667,48.196357630934,2.72869488333989,1.57415001903374,0.0853572590362481,0.0473958252463652,0.0979483232786635,0.0505985987575577,0.0442648204526114,0.0450659113999264,0.0482450940344238,0.0520923652765982,0.0728040135226417,0.0620410069346803,0.101068204252578,0.0968398718803003
"314","1kPa","E2","05","DMSO","04","75/25","Hyaluronic AcidGalectin 3","HAG3",274.111111111111,90.8979892211288,5.56479261665389,0.28699621943026,0.144021776345994,0.0521020714045195,0.165328010312215,0.0531860492385392,0.0817932191812079,0.0497315992065922,0.0908769196639783,0.0568946106305431,0.0757605609373597,0.0250675143751488,0.101174534658296,0.0326143274141466
"315","1kPa","E2","05","DMSO","05","50/50","Tenascin CHyaluronic Acid","TCHA",13.4444444444444,8.17176711475418,2.22615329832024,0.577658086494971,0.151003691797363,0.0886768017036571,0.170128503552433,0.0929791909845963,0.101915491316534,0.134613666442647,0.112454051183447,0.146219432339836,0.0908180306298609,0.0419545410251726,0.120613392604285,0.0582485603140437
"316","1kPa","E2","05","DMSO","06","75/25","Tenascin CGalectin 3","TCG3",46.5,32.3015307514813,3.31951997901039,0.916753547425523,0.211059957702678,0.0821879690327541,0.235233961446794,0.0843089633078758,0.128963875386074,0.0587974000364424,0.145419348917644,0.0664728076766095,0.101405184966074,0.0246003123599484,0.136516909680392,0.0371836574284533
"317","1kPa","E2","05","DMSO","07","50/50","Collagen IVHyaluronic Acid","C4HA",21.4444444444444,NA,2.26468981154475,NA,0.170652123628259,0.0808974175854423,0.190403102948249,0.0819113758349088,0.0879317770071673,0.0476657525429407,0.0987496877500938,0.0546517716721823,0.099482756158157,0.0554848641356672,0.134721728713536,0.077736074393698
"318","1kPa","E2","05","DMSO","08","50/50","LamininTenascin C","LNTC",19.2777777777778,11.6452183797089,2.77573893966851,0.651814455708379,0.179754001773174,0.10755218365066,0.197223020178274,0.111038272438581,0.0989757351275215,0.0885224179768586,0.109916300701526,0.0995505122642948,0.0891247822667662,0.0549403818690496,0.124238118605714,0.0855146772840936
