"","Metadata_Slide","Metadata_Stiffness","Metadata_Scene","Metadata_Experiment","Metadata_Row","Metadata_Treatment","Metadata_Column","Metadata_Ratio","Metadata_ECMs","Abb_ECM","Nuclei","logNuclei","Mean_Green","SD_Green","Mean_Green_Norm","SD_Green_Norm","Mean_Red","SD_Red","Mean_Red_Norm","SD_Red_Norm","Mean_Orange","SD_Orange","Mean_Orange_Norm","SD_Orange_Norm"
"5328","17","25kPa",1,"E2","05","10 uM","12","75/25","Collagen IFibronectin","C1FN",408,6.011267,0.1422122,0.05420319,0.1655856,0.05430069,0.03787905,0.02065695,0.03926798,0.02440057,0.09684594,0.03087227,0.09173195,0.01383299
"5329","17","25kPa",1,"E2","06","10 uM","02","75/25","Collagen IVGalectin 3","C4G3",320,5.768321,0.1054425,0.02877669,0.1269214,0.03103367,0.03413286,0.01934493,0.0348764,0.02282957,0.09906801,0.03048012,0.09288296,0.01437795
"5330","17","25kPa",1,"E2","06","10 uM","03","25/75","LamininTenascin C","LNTC",232,5.446737,0.104625,0.03417614,0.1257849,0.03648384,0.03591523,0.03528499,0.03656018,0.03947539,0.09725844,0.04644469,0.09032494,0.01585002
"5331","17","25kPa",1,"E2","06","10 uM","04","25/75","Tenascin CDecorin","TCDN",179,5.187386,0.1206499,0.0376953,0.1431291,0.03996858,0.05028206,0.05597281,0.05323666,0.06389183,0.10772,0.03782986,0.0958982,0.01571807
"5332","17","25kPa",1,"E2","06","10 uM","05","25/75","OsteopontinFibronectin","OPNFN",11,2.397895,0.1384652,0.02940286,0.1624929,0.03100434,0.04384047,0.01707706,0.04644218,0.02036017,0.1543401,0.03033783,0.1135355,0.006480851
"5333","17","25kPa",1,"E2","06","10 uM","06","75/25","Collagen IVHyaluronic Acid","C4HA",8,2.079442,0.1482315,0.02144088,0.1728978,0.02250921,0.06069421,0.01849947,0.06624656,0.02133426,0.1576181,0.02585418,0.1149181,0.004310741
"5334","17","25kPa",1,"E2","06","10 uM","07","25/75","Collagen IVTenascin C","C4TC",240,5.480639,0.1268862,0.03421153,0.1499997,0.03622117,0.03643407,0.01729599,0.03769431,0.02046853,0.09663371,0.02826847,0.09185276,0.01428924
"5335","17","25kPa",1,"E2","06","10 uM","08","100","Tenascin C","TC",21,3.044522,0.1566034,0.03874664,0.1812077,0.0397404,0.04781922,0.01326151,0.05122261,0.01583084,0.1746945,0.06602937,0.1150542,0.004874778
"5336","17","25kPa",1,"E2","06","10 uM","09","50/50","LamininOsteopontin","LNOPN",252,5.529429,0.1420044,0.04559403,0.1656574,0.04669668,0.03754913,0.01799877,0.03904111,0.02124212,0.1052094,0.03068171,0.09594137,0.01347789
"5337","17","25kPa",1,"E2","06","10 uM","10","25/75","Tenascin CHyaluronic Acid","TCHA",21,3.044522,0.1566684,0.05163571,0.1807629,0.05300745,0.05742616,0.03709132,0.06214522,0.04315457,0.1433698,0.02359782,0.1116791,0.00600283
"5338","17","25kPa",1,"E2","06","10 uM","11","100","Osteopontin","OPN",403,5.998937,0.1516978,0.05561358,0.1753514,0.05632172,0.03870455,0.02476273,0.04024166,0.02896999,0.1067283,0.03616904,0.09566251,0.01539044
"5339","17","25kPa",1,"E2","06","10 uM","12","25/75","DecorinGalectin 3","DNG3",472,6.156979,0.1277453,0.04102825,0.1506838,0.04270421,0.0382157,0.02831894,0.03956396,0.03305753,0.08928348,0.03091817,0.08731244,0.01441482
"5340","17","25kPa",1,"E2","07","10 uM","02","25/75","Collagen ITenascin C","C1TC",3,1.098612,0.1360283,0.02305677,0.1601209,0.02441881,0.04884529,0.01084605,0.05258892,0.01258657,0.1835733,0.05643801,0.1169379,0.00477553
"5341","17","25kPa",1,"E2","07","10 uM","03","75/25","LamininHyaluronic Acid","LNHA",303,5.713733,0.1271144,0.04191774,0.1498936,0.04421251,0.04349336,0.02864343,0.04588023,0.03340009,0.1074113,0.03965924,0.09513346,0.01749446
"5342","17","25kPa",1,"E2","07","10 uM","04","50/50","Collagen IVGalectin 3","C4G3",87,4.465908,0.1602588,0.04855525,0.1846554,0.04844139,0.06403972,0.06465471,0.06944975,0.07245433,0.1535721,0.08634669,0.1099775,0.009821003
"5343","17","25kPa",1,"E2","07","10 uM","05","50/50","Hyaluronic AcidDecorin","HADN",6,1.791759,0.138656,0.02913071,0.162769,0.03038491,0.04526924,0.02684283,0.04812835,0.03129399,0.1481489,0.008771572,0.1140464,0.002163486
"5344","17","25kPa",1,"E2","07","10 uM","06","75/25","LamininTenascin C","LNTC",38,3.637586,0.2104695,0.0667425,0.2345977,0.06511794,0.0787622,0.06256377,0.08672965,0.07159389,0.1862939,0.05880443,0.1157681,0.006919737
"5345","17","25kPa",1,"E2","07","10 uM","07","50/50","Collagen IHyaluronic Acid","C1HA",160,5.075174,0.1122929,0.02983941,0.1344425,0.03161633,0.03510479,0.02621855,0.03590456,0.03066052,0.1005988,0.02704643,0.09425608,0.012555
"5346","17","25kPa",1,"E2","07","10 uM","08","25/75","Collagen IVDecorin","C4DN",370,5.913503,0.128323,0.03623653,0.1514867,0.03804312,0.03857844,0.02353859,0.04018924,0.02750744,0.1033675,0.03141455,0.09487966,0.01370966
"5347","17","25kPa",1,"E2","07","10 uM","09","25/75","DecorinFibronectin","DNFN",189,5.241747,0.1632594,0.0558627,0.1873783,0.05628126,0.04846058,0.03283775,0.05171457,0.0381118,0.1299884,0.04045889,0.1047657,0.01238062
"5348","17","25kPa",1,"E2","07","10 uM","10","25/75","Collagen IVFibronectin","C4FN",19,2.944439,0.1606238,0.0475861,0.1849841,0.04897991,0.05394494,0.01965623,0.05839608,0.02279018,0.1629595,0.02996607,0.115111,0.006357359
"5349","17","25kPa",1,"E2","07","10 uM","11","75/25","Tenascin CDecorin","TCDN",11,2.397895,0.1156692,0.02209779,0.1383419,0.02389948,0.02599491,0.009086014,0.02533851,0.0110078,0.1502051,0.02939909,0.1128113,0.005803004
"5350","17","25kPa",1,"E2","07","10 uM","12","25/75","Collagen IVOsteopontin","C4OPN",4,1.386294,0.1450787,0.03621903,0.1692509,0.03860243,0.03595179,0.01818089,0.03776729,0.02107919,0.1090088,0.02884448,0.0987766,0.01636622
