"","Metadata_Slide","Metadata_Stiffness","Metadata_Scene","Metadata_Experiment","Metadata_Row","Metadata_Treatment","Metadata_Column","Metadata_Ratio","Metadata_ECMs","Abb_ECM","Nuclei","logNuclei","Mean_Green","SD_Green","Mean_Green_Norm","SD_Green_Norm","Mean_Red","SD_Red","Mean_Red_Norm","SD_Red_Norm","Mean_Orange","SD_Orange","Mean_Orange_Norm","SD_Orange_Norm"
"2427","08","25kPa",1,"E1","11","10 uM","10","25/75","Collagen IVTenascin C","C4TC",175,5.16478597392351,0.122157682012786,0.0257485250209,0.103114046929325,0.0228672210254589,0.0446193828755289,0.0253911772465389,0.0423876615674341,0.0221142594122542,0.0844867295144774,0.0188603431216894,0.0656578741088942,0.0160151818817437
"2428","08","25kPa",1,"E1","11","10 uM","11","75/25","Collagen IVDecorin","C4DN",229,5.43372200355424,0.108561611237992,0.0296469326970856,0.0914425476259269,0.0262776809065878,0.0420980234924062,0.0247687404449772,0.0402280319626687,0.0215192628741545,0.0712545845848455,0.0214332952495973,0.0549968752790476,0.0175739942636421
"2429","08","25kPa",1,"E1","11","10 uM","12","25/75","Collagen IOsteopontin","C1OPN",13,2.56494935746154,0.0527581539555496,0.00554599775623616,0.0492036687805829,0.00343858986189075,0.000274183401687921,0.000251532750404114,0.000147678744790334,0.000160392939346708,0.0184047593802583,0.000589962861406141,0.0157831282486411,0.000539107690520267
"2430","08","25kPa",1,"E1","12","10 uM","02","75/25","LamininDecorin","LNDN",4,1.38629436111989,0.107816729802376,0.0258132024029927,0.0906788496635896,0.0219398602318243,0.0196846437486901,0.0307087096239992,0.0211969184949947,0.0264934319876766,0.127021674446409,0.0387821069286998,0.101984247866317,0.0331994446268719
"2431","08","25kPa",1,"E1","12","10 uM","03","25/75","Galectin 3Fibronectin","G3FN",8,2.07944154167984,0.146699173657177,0.0984473066547311,0.128875978017766,0.092328151044989,0.0232599348119406,0.0208763999875441,0.0247632688556244,0.0175857862862216,0.216863308260472,0.216373855573228,0.16466968356748,0.158897407925374
"2432","08","25kPa",1,"E1","12","10 uM","04","25/75","Collagen IVLaminin","C4LN",236,5.46383180502561,0.0991677535506493,0.0328530543727213,0.0838149999400667,0.0288141591766734,0.0405210228862355,0.0263931126380284,0.0389218641525854,0.0228986151692327,0.0921409901231922,0.0229449431407408,0.0721564326705142,0.0196828750407046
"2433","08","25kPa",1,"E1","12","10 uM","05","75/25","Tenascin CHyaluronic Acid","TCHA",10,2.30258509299405,0.144459143572391,0.0306567741737276,0.123126432199091,0.028208283279769,0.0643141984334804,0.0198103616866623,0.0594201150320698,0.0173474761478469,0.149845644994277,0.0211668915514524,0.121754410254673,0.0176728018032656
"2434","08","25kPa",1,"E1","12","10 uM","06","50/50","Hyaluronic AcidDecorin","HADN",27,3.29583686600433,0.140422655572615,0.037304503006833,0.119754543193978,0.0337679054112482,0.0538070787974525,0.016540649226823,0.0502804065337897,0.0143789960554613,0.126388616344065,0.0267741074504293,0.101694159140071,0.0229395470296811
"2435","08","25kPa",1,"E1","12","10 uM","07","50/50","LamininOsteopontin","LNOPN",7,1.94591014905531,0.0789479125988424,0.0299232461598441,0.0684059288506116,0.023416299158022,0.0227414965535067,0.0255405039570979,0.0228878012916187,0.0229259375789879,0.0838718492821996,0.0458053512611182,0.0669306889743331,0.0374481015979769
"2436","08","25kPa",1,"E1","12","10 uM","08","50/50","Collagen IVLaminin","C4LN",269,5.59471137960184,0.107906865732726,0.0263177393534326,0.0907818366443015,0.0229872614814028,0.0370617217617498,0.0181886536472619,0.035884430795323,0.0156856723479804,0.0774157563847355,0.0187304766731871,0.0598279665675596,0.0154995209238397
