,.y.,group1,group2,p,p.adj,p.format,p.signif,method
162,Mean_Red_Norm,HAFN,TCHA,0.792522646,1,0.79252,ns,Wilcoxon
163,Mean_Red_Norm,HAFN,C1HA,0.337705674,1,0.33771,ns,Wilcoxon
164,Mean_Red_Norm,HAFN,LNTC,0.871081873,1,0.87108,ns,Wilcoxon
165,Mean_Red_Norm,HAFN,HA,0.560089053,1,0.56009,ns,Wilcoxon
166,Mean_Red_Norm,HAFN,HADN,0.732786477,1,0.73279,ns,Wilcoxon
167,Mean_Red_Norm,HAFN,LNOPN,0.186900464,1,0.1869,ns,Wilcoxon
168,Mean_Red_Norm,HAFN,TC,0.680864561,1,0.68086,ns,Wilcoxon
169,Mean_Red_Norm,HAFN,DN,0.282765069,1,0.28277,ns,Wilcoxon
170,Mean_Red_Norm,HAFN,OPN,0.66368967,1,0.66369,ns,Wilcoxon
171,Mean_Red_Norm,HAG3,LNG3,0.503397418,1,0.5034,ns,Wilcoxon
172,Mean_Red_Norm,HAG3,TCDN,0.827230988,1,0.82723,ns,Wilcoxon
173,Mean_Red_Norm,HAG3,C4OPN,0.707643707,1,0.70764,ns,Wilcoxon
174,Mean_Red_Norm,HAG3,C1,0.990631436,1,0.99063,ns,Wilcoxon
175,Mean_Red_Norm,HAG3,OPNG3,0.046383657,1,0.04638,*,Wilcoxon
176,Mean_Red_Norm,HAG3,C4,0.416435054,1,0.41644,ns,Wilcoxon
177,Mean_Red_Norm,HAG3,HAOPN,0.674607752,1,0.67461,ns,Wilcoxon
178,Mean_Red_Norm,HAG3,FN,0.769014545,1,0.76901,ns,Wilcoxon
179,Mean_Red_Norm,HAG3,OPNDN,0.476831957,1,0.47683,ns,Wilcoxon
180,Mean_Red_Norm,HAG3,OPNFN,0.278974594,1,0.27897,ns,Wilcoxon
181,Mean_Red_Norm,HAG3,LNDN,0.096848043,1,0.09685,ns,Wilcoxon
182,Mean_Red_Norm,HAG3,LNFN,0.304761991,1,0.30476,ns,Wilcoxon
183,Mean_Red_Norm,HAG3,C1G3,0.133319117,1,0.13332,ns,Wilcoxon
184,Mean_Red_Norm,HAG3,C4HA,0.977679234,1,0.97768,ns,Wilcoxon
185,Mean_Red_Norm,HAG3,G3FN,0.977679234,1,0.97768,ns,Wilcoxon
186,Mean_Red_Norm,HAG3,C4FN,0.429513014,1,0.42951,ns,Wilcoxon
187,Mean_Red_Norm,HAG3,C1OPN,0.366820337,1,0.36682,ns,Wilcoxon
188,Mean_Red_Norm,HAG3,DNFN,0.469904288,1,0.4699,ns,Wilcoxon
189,Mean_Red_Norm,HAG3,C4G3,0.942009041,1,0.94201,ns,Wilcoxon
190,Mean_Red_Norm,HAG3,LNHA,0.626210225,1,0.62621,ns,Wilcoxon
191,Mean_Red_Norm,HAG3,G3,0.53300904,1,0.53301,ns,Wilcoxon
192,Mean_Red_Norm,HAG3,DNG3,0.564102506,1,0.5641,ns,Wilcoxon
193,Mean_Red_Norm,HAG3,C1LN,0.148624038,1,0.14862,ns,Wilcoxon
194,Mean_Red_Norm,HAG3,TCG3,0.968754792,1,0.96875,ns,Wilcoxon
195,Mean_Red_Norm,HAG3,TCFN,0.933106647,1,0.93311,ns,Wilcoxon
196,Mean_Red_Norm,HAG3,C1TC,0.026269966,1,0.02627,*,Wilcoxon
197,Mean_Red_Norm,HAG3,C4LN,0.594790724,1,0.59479,ns,Wilcoxon
198,Mean_Red_Norm,HAG3,C1FN,0.103912587,1,0.10391,ns,Wilcoxon
199,Mean_Red_Norm,HAG3,C4TC,0.040430187,1,0.04043,*,Wilcoxon
200,Mean_Red_Norm,HAG3,C4DN,0.724372501,1,0.72437,ns,Wilcoxon
201,Mean_Red_Norm,HAG3,TCOPN,0.924212507,1,0.92421,ns,Wilcoxon
202,Mean_Red_Norm,HAG3,TCHA,0.915327714,1,0.91533,ns,Wilcoxon
203,Mean_Red_Norm,HAG3,C1HA,0.422980387,1,0.42298,ns,Wilcoxon
204,Mean_Red_Norm,HAG3,LNTC,0.844715487,1,0.84472,ns,Wilcoxon
205,Mean_Red_Norm,HAG3,HA,0.560089053,1,0.56009,ns,Wilcoxon
206,Mean_Red_Norm,HAG3,HADN,0.844715487,1,0.84472,ns,Wilcoxon
207,Mean_Red_Norm,HAG3,LNOPN,0.299483454,1,0.29948,ns,Wilcoxon
208,Mean_Red_Norm,HAG3,TC,0.502440101,1,0.50244,ns,Wilcoxon
209,Mean_Red_Norm,HAG3,DN,0.304681951,1,0.30468,ns,Wilcoxon
210,Mean_Red_Norm,HAG3,OPN,0.53300904,1,0.53301,ns,Wilcoxon
211,Mean_Red_Norm,LNG3,TCDN,0.439910468,1,0.43991,ns,Wilcoxon
212,Mean_Red_Norm,LNG3,C4OPN,0.877387927,1,0.87739,ns,Wilcoxon
213,Mean_Red_Norm,LNG3,C1,0.673437959,1,0.67344,ns,Wilcoxon
214,Mean_Red_Norm,LNG3,OPNG3,0.122380347,1,0.12238,ns,Wilcoxon
215,Mean_Red_Norm,LNG3,C4,0.571194196,1,0.57119,ns,Wilcoxon
216,Mean_Red_Norm,LNG3,HAOPN,0.770701044,1,0.7707,ns,Wilcoxon
217,Mean_Red_Norm,LNG3,FN,0.315773319,1,0.31577,ns,Wilcoxon
218,Mean_Red_Norm,LNG3,OPNDN,0.201029583,1,0.20103,ns,Wilcoxon
219,Mean_Red_Norm,LNG3,OPNFN,0.635161498,1,0.63516,ns,Wilcoxon
220,Mean_Red_Norm,LNG3,LNDN,0.244728387,1,0.24473,ns,Wilcoxon
221,Mean_Red_Norm,LNG3,LNFN,0.533073437,1,0.53307,ns,Wilcoxon
222,Mean_Red_Norm,LNG3,C1G3,0.426445137,1,0.42645,ns,Wilcoxon
223,Mean_Red_Norm,LNG3,C4HA,0.602884218,1,0.60288,ns,Wilcoxon
224,Mean_Red_Norm,LNG3,G3FN,0.594930218,1,0.59493,ns,Wilcoxon
225,Mean_Red_Norm,LNG3,C4FN,0.74460457,1,0.7446,ns,Wilcoxon
226,Mean_Red_Norm,LNG3,C1OPN,0.788244223,1,0.78824,ns,Wilcoxon
227,Mean_Red_Norm,LNG3,DNFN,0.140137583,1,0.14014,ns,Wilcoxon
228,Mean_Red_Norm,LNG3,C4G3,0.659831412,1,0.65983,ns,Wilcoxon
229,Mean_Red_Norm,LNG3,LNHA,0.841479671,1,0.84148,ns,Wilcoxon
