,Metadata_Stiffness,Condition,Metadata_Treatment,Mean_PXR,Mean_Vim,Mean_Ecad,Rank_PXR,Rank_Vim,Rank_Ecad,
370,25kPa,50LN_50DN,DMSO,0.154656756,0.120637593,0.084865294,125,64,119,
109,1kPa,50C4_50FN,10 uM,0.119196531,0.078035335,0.049986928,,,,
380,25kPa,50LN_50TC,DMSO,0.164171213,0.11984081,0.08676977,82,65,110,
111,1kPa,50C4_50G3,10 uM,0.125583761,0.083605963,0.045907868,,,,
390,25kPa,50TC_50FN,DMSO,0.147477124,0.118688055,0.071513131,162,66,187,
113,1kPa,50C4_50HA,10 uM,0.119781688,0.100298652,0.044363559,,,,
214,1kPa,75LN_25HA,DMSO,0.201057079,0.118648167,0.098212265,11,67,51,
115,1kPa,50C4_50LN,10 uM,0.148235014,0.088613906,0.063237767,,,,
236,25kPa,100C1,DMSO,0.12571307,0.118600801,0.074797675,326,68,176,
117,1kPa,50C4_50OPN,10 uM,0.145803133,0.110744859,0.059707044,,,,
136,1kPa,50LN_50DN,DMSO,0.16511388,0.118578715,0.093386616,80,69,73,
119,1kPa,50C4_50TC,10 uM,0.151224006,0.083976891,0.063977685,,,,
444,25kPa,75LN_25FN,DMSO,0.199275171,0.118565193,0.119865074,12,70,8,
121,1kPa,50DN_50FN,10 uM,0.151386874,0.106473113,0.061398289,,,,
440,25kPa,75HA_25OPN,DMSO,0.147222926,0.118540874,0.078805468,168,71,155,
123,1kPa,50DN_50G3,10 uM,0.135780447,0.082322882,0.043708557,,,,
280,25kPa,25C4_75OPN,DMSO,0.139459506,0.118103291,0.080868183,226,72,144,
125,1kPa,50G3_50FN,10 uM,0.132257163,0.076560797,0.043174475,,,,
140,1kPa,50LN_50G3,DMSO,0.1434287,0.117929773,0.076022329,195,73,171,
127,1kPa,50HA_50DN,10 uM,0.143653093,0.111508001,0.057387632,,,,
150,1kPa,50OPN_50FN,DMSO,0.1695057,0.117523272,0.088657115,62,75,92,
129,1kPa,50HA_50FN,10 uM,0.12165723,0.077705511,0.038892489,,,,
368,25kPa,50HA_50OPN,DMSO,0.144414698,0.117518146,0.078694597,185,76,157,
131,1kPa,50HA_50G3,10 uM,0.106277657,0.075839744,0.034874884,,,,
