"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"92","Mean_Orange_Norm","C1C4","C4OPN",0.391190139810319,1,"0.39119","ns","Wilcoxon"
"93","Mean_Orange_Norm","C1C4","C1",0.663689669649045,1,"0.66369","ns","Wilcoxon"
"94","Mean_Orange_Norm","C1C4","OPNG3",0.995535294657666,1,"0.99554","ns","Wilcoxon"
"95","Mean_Orange_Norm","C1C4","C4",0.214391429733039,1,"0.21439","ns","Wilcoxon"
"96","Mean_Orange_Norm","C1C4","HAOPN",0.587048376675425,1,"0.58705","ns","Wilcoxon"
"97","Mean_Orange_Norm","C1C4","FN",0.805179386797145,1,"0.80518","ns","Wilcoxon"
"98","Mean_Orange_Norm","C1C4","OPNDN",0.666441672753929,1,"0.66644","ns","Wilcoxon"
"99","Mean_Orange_Norm","C1C4","OPNFN",0.915327713529074,1,"0.91533","ns","Wilcoxon"
"100","Mean_Orange_Norm","C1C4","LNDN",0.158422145366746,1,"0.15842","ns","Wilcoxon"
"101","Mean_Orange_Norm","C1C4","LNFN",0.801164600933215,1,"0.80116","ns","Wilcoxon"
"102","Mean_Orange_Norm","C1C4","C1G3",0.977679233917821,1,"0.97768","ns","Wilcoxon"
"103","Mean_Orange_Norm","C1C4","C4HA",0.758215643555916,1,"0.75822","ns","Wilcoxon"
"104","Mean_Orange_Norm","C1C4","G3FN",1,1,"1.00000","ns","Wilcoxon"
"105","Mean_Orange_Norm","C1C4","C4FN",0.18314936243641,1,"0.18315","ns","Wilcoxon"
"106","Mean_Orange_Norm","C1C4","C1OPN",0.809830650381117,1,"0.80983","ns","Wilcoxon"
"107","Mean_Orange_Norm","C1C4","DNFN",0.0880247415509068,1,"0.08802","ns","Wilcoxon"
"108","Mean_Orange_Norm","C1C4","C4G3",0.0901681882094608,1,"0.09017","ns","Wilcoxon"
"109","Mean_Orange_Norm","C1C4","LNHA",0.366820336669132,1,"0.36682","ns","Wilcoxon"
"110","Mean_Orange_Norm","C1C4","G3",0.151523959626979,1,"0.15152","ns","Wilcoxon"
"111","Mean_Orange_Norm","C1C4","DNG3",0.148624037809084,1,"0.14862","ns","Wilcoxon"
"112","Mean_Orange_Norm","C1C4","C1LN",0.179453635755513,1,"0.17945","ns","Wilcoxon"
"113","Mean_Orange_Norm","C1C4","TCG3",0.814756378732215,1,"0.81476","ns","Wilcoxon"
"114","Mean_Orange_Norm","C1C4","TCFN",0.54159206936963,1,"0.54159","ns","Wilcoxon"
"115","Mean_Orange_Norm","C1C4","C1TC",0.49085139652348,1,"0.49085","ns","Wilcoxon"
"116","Mean_Orange_Norm","C1C4","C4LN",0.227526720492502,1,"0.22753","ns","Wilcoxon"
"117","Mean_Orange_Norm","C1C4","C1FN",0.483814475201114,1,"0.48381","ns","Wilcoxon"
"118","Mean_Orange_Norm","C1C4","C4TC",0.289108067954567,1,"0.28911","ns","Wilcoxon"
"119","Mean_Orange_Norm","C1C4","C4DN",0.053048023264557,1,"0.05305","ns","Wilcoxon"
"120","Mean_Orange_Norm","C1C4","TCOPN",0.227526720492502,1,"0.22753","ns","Wilcoxon"
"121","Mean_Orange_Norm","C1C4","TCHA",0.571703600441235,1,"0.57170","ns","Wilcoxon"
"122","Mean_Orange_Norm","C1C4","C1HA",0.127545921952748,1,"0.12755","ns","Wilcoxon"
"123","Mean_Orange_Norm","C1C4","LNTC",0.0760023690985446,1,"0.07600","ns","Wilcoxon"
"124","Mean_Orange_Norm","C1C4","HA",0.304681951387248,1,"0.30468","ns","Wilcoxon"
"125","Mean_Orange_Norm","C1C4","HADN",0.299483454281595,1,"0.29948","ns","Wilcoxon"
"126","Mean_Orange_Norm","C1C4","LNOPN",0.642179801625858,1,"0.64218","ns","Wilcoxon"
"127","Mean_Orange_Norm","C1C4","TC",0.458337469330101,1,"0.45834","ns","Wilcoxon"
"128","Mean_Orange_Norm","C1C4","DN",0.119875252232211,1,"0.11988","ns","Wilcoxon"
"129","Mean_Orange_Norm","C1C4","OPN",0.0983976172937687,1,"0.09840","ns","Wilcoxon"
"130","Mean_Orange_Norm","HAFN","HAG3",0.534188246190404,1,"0.53419","ns","Wilcoxon"
"131","Mean_Orange_Norm","HAFN","LNG3",0.0516554453296308,1,"0.05166","ns","Wilcoxon"
"132","Mean_Orange_Norm","HAFN","TCDN",0.959834211465561,1,"0.95983","ns","Wilcoxon"
"133","Mean_Orange_Norm","HAFN","C4OPN",0.792522645864482,1,"0.79252","ns","Wilcoxon"
"134","Mean_Orange_Norm","HAFN","C1",0.897221795310064,1,"0.89722","ns","Wilcoxon"
"135","Mean_Orange_Norm","HAFN","OPNG3",0.61041188526553,1,"0.61041","ns","Wilcoxon"
"136","Mean_Orange_Norm","HAFN","C4",0.0719235729625051,1,"0.07192","ns","Wilcoxon"
"137","Mean_Orange_Norm","HAFN","HAOPN",0.968754791520069,1,"0.96875","ns","Wilcoxon"
"138","Mean_Orange_Norm","HAFN","FN",0.805179386797145,1,"0.80518","ns","Wilcoxon"
"139","Mean_Orange_Norm","HAFN","OPNDN",0.766751307087181,1,"0.76675","ns","Wilcoxon"
"140","Mean_Orange_Norm","HAFN","OPNFN",0.397430904935493,1,"0.39743","ns","Wilcoxon"
"141","Mean_Orange_Norm","HAFN","LNDN",0.0287020196981533,1,"0.02870","*","Wilcoxon"
"142","Mean_Orange_Norm","HAFN","LNFN",0.666441672753929,1,"0.66644","ns","Wilcoxon"
"143","Mean_Orange_Norm","HAFN","C1G3",0.449454594263529,1,"0.44945","ns","Wilcoxon"
"144","Mean_Orange_Norm","HAFN","C4HA",0.634173989021017,1,"0.63417","ns","Wilcoxon"
"145","Mean_Orange_Norm","HAFN","G3FN",0.674607752461998,1,"0.67461","ns","Wilcoxon"
"146","Mean_Orange_Norm","HAFN","C4FN",0.526835230206375,1,"0.52684","ns","Wilcoxon"
"147","Mean_Orange_Norm","HAFN","C1OPN",0.915327713529074,1,"0.91533","ns","Wilcoxon"
"148","Mean_Orange_Norm","HAFN","DNFN",0.33206367556494,1,"0.33206","ns","Wilcoxon"
"149","Mean_Orange_Norm","HAFN","C4G3",0.28401112454078,1,"0.28401","ns","Wilcoxon"
"150","Mean_Orange_Norm","HAFN","LNHA",0.741232281214897,1,"0.74123","ns","Wilcoxon"
"151","Mean_Orange_Norm","HAFN","G3",0.43015209533028,1,"0.43015","ns","Wilcoxon"
"152","Mean_Orange_Norm","HAFN","DNG3",0.442750455028766,1,"0.44275","ns","Wilcoxon"
"153","Mean_Orange_Norm","HAFN","C1LN",0.436103146506035,1,"0.43610","ns","Wilcoxon"
"154","Mean_Orange_Norm","HAFN","TCG3",0.727364330075019,1,"0.72736","ns","Wilcoxon"
"155","Mean_Orange_Norm","HAFN","TCFN",0.897590511809598,1,"0.89759","ns","Wilcoxon"
"156","Mean_Orange_Norm","HAFN","C1TC",0.853486711112679,1,"0.85349","ns","Wilcoxon"
"157","Mean_Orange_Norm","HAFN","C4LN",0.549046120177534,1,"0.54905","ns","Wilcoxon"
"158","Mean_Orange_Norm","HAFN","C1FN",0.844715487085281,1,"0.84472","ns","Wilcoxon"
"159","Mean_Orange_Norm","HAFN","C4TC",0.579352443925653,1,"0.57935","ns","Wilcoxon"
"160","Mean_Orange_Norm","HAFN","C4DN",0.133319117246192,1,"0.13332","ns","Wilcoxon"
"161","Mean_Orange_Norm","HAFN","TCOPN",0.449454594263529,1,"0.44945","ns","Wilcoxon"
"162","Mean_Orange_Norm","HAFN","TCHA",0.264226587073783,1,"0.26423","ns","Wilcoxon"
"163","Mean_Orange_Norm","HAFN","C1HA",0.269082428960025,1,"0.26908","ns","Wilcoxon"
"164","Mean_Orange_Norm","HAFN","LNTC",0.223204873302759,1,"0.22320","ns","Wilcoxon"
"165","Mean_Orange_Norm","HAFN","HA",0.0888437968053283,1,"0.08884","ns","Wilcoxon"
"166","Mean_Orange_Norm","HAFN","HADN",0.634173989021017,1,"0.63417","ns","Wilcoxon"
"167","Mean_Orange_Norm","HAFN","LNOPN",0.92421250737285,1,"0.92421","ns","Wilcoxon"
"168","Mean_Orange_Norm","HAFN","TC",0.75110868944768,1,"0.75111","ns","Wilcoxon"
"169","Mean_Orange_Norm","HAFN","DN",0.214391429733039,1,"0.21439","ns","Wilcoxon"
"170","Mean_Orange_Norm","HAFN","OPN",0.223375276899904,1,"0.22338","ns","Wilcoxon"
"171","Mean_Orange_Norm","HAG3","LNG3",0.0240158805407346,1,"0.02402","*","Wilcoxon"
