"","Metadata_ECMs","Metadata_Ratio","Metadata_Stiffness","Metadata_Experiment","Metadata_Slide","Metadata_Block","Metadata_Row","Metadata_Column","Metadata_Treatment","Abb_ECMs","Mean_Nuclei","SD_Nuclei","Mean_logNuclei","SD_logNuclei","Mean_Percent_Positive","SD_Percent_Positive","Mean_Blue","SD_Blue","Mean_Green","SD_Green","Mean_Blue_Area","SD_Blue_Area","Mean_Compactness","SD_Compactness","Mean_Eccentricity","SD_Eccentricity","Mean_Form_Factor","SD_Form_Factor","Mean_MeanRadius","SD_MeanRadius","Mean_Solidity","SD_Solidity","Mean_Neighbors","SD_Neightbors","CollagenI","CollagenIV","Laminin","Hyaluronic_Acid","TenascinC","Osteopontin","Galectin3","Fibronectin","Decorin","Replicate","Conditions","ControlMean","FOC","Condition"
"1159","Collagen IVGalectin 3","50/50","1kPa","BAA3DPe2",8,"4",8,11,"10 uM","C4:G3",17.6666666666667,6.02771377334171,2.83205794133333,0.346575034447058,12.5,21.650635094611,0.162588333333333,0.0641557458129895,0.0592486116666667,0.0366162653295583,72.3357843133333,24.9338394477656,0.998492784,0.103583800602075,0.582087822333333,0.172602817679903,1.011689124,0.0955051169551847,1.87976917533333,0.241673013668131,0.934636594666667,0.041670122886051,1.001633987,0.94343905090418,0,0.5,0,0,0,0,0.5,0,0,2,"C4:G3 50/50",18.3333333333333,0.963636363636364,"Collagen IVGalectin 3 50/50"
"1160","Collagen IVGalectin 3","50/50","1kPa","BAA3DPe2",17,"3",8,11,"DMSO","C4:G3",22.6666666666667,9.45163125250522,3.04806685666667,0.492931563878811,66.1538461533333,29.028766708656,0.240870496333333,0.0934800755694623,0.170427718,0.112482988451903,107.579914523333,55.6567016919196,1.08284410933333,0.133756817642923,0.628059293666667,0.165006128618898,0.937884209,0.109610551018504,2.108964144,0.414005017949713,0.926690752333333,0.0349372848679089,1.70427350433333,1.08953463035892,0,0.5,0,0,0,0,0.5,0,0,3,"C4:G3 50/50",18.3333333333333,1.23636363636364,"Collagen IVGalectin 3 50/50"
"1161","Collagen IVGalectin 3","50/50","1kPa","BAA3DPe2",9,"4",8,11,"10 uM","C4:G3",16,6,2.72207208933333,0.396648710783896,11.1742424233333,14.287635765541,0.184795731,0.0611250674201816,0.0486174606666667,0.0310414502517342,77.6598484833333,30.8842277194906,0.993552738333333,0.157392924697154,0.531688806333333,0.177188450376413,1.02480545733333,0.108425501812555,1.953858039,0.306274496292943,0.944204921333333,0.035674865929001,0.422727272666667,0.491290180020889,0,0.5,0,0,0,0,0.5,0,0,3,"C4:G3 50/50",18.3333333333333,0.872727272727273,"Collagen IVGalectin 3 50/50"
"1162","Collagen IVGalectin 3","50/50","1kPa","BAA3DPe2",10,"6",8,11,"20 uM","C4:G3",11,5.56776436283002,2.28897776133333,0.605822621533342,12.9166666666667,11.2036080497906,0.142567095666667,0.0421696081424192,0.0499376343333333,0.0545374769378137,78.5569444433333,36.4716802417513,0.961740921,0.0751345913458274,0.513930176333333,0.194394733368845,1.04518521266667,0.0787453790588109,1.95523428166667,0.339372952041217,0.935461653333333,0.0352514014332743,0.272222222333333,0.511484273172602,0,0.5,0,0,0,0,0.5,0,0,1,"C4:G3 50/50",18.3333333333333,0.6,"Collagen IVGalectin 3 50/50"
"1163","Collagen IVGalectin 3","50/50","1kPa","BAA3DPe2",15,"6",8,11,"20 uM","C4:G3",7.66666666666667,7.23417813807024,1.75249845733333,0.895057738186948,38.1944444433333,34.6318267774331,0.136700306333333,0.0676029375835403,0.0743050496666667,0.057131233642362,57.3541666666667,30.2397595161659,0.992870143333333,0.105497877272219,0.591540134333333,0.228271309600452,1.01982680533333,0.105297864101161,1.71277264733333,0.358688815392636,0.923694509333333,0.0393104100471867,0.291666666666667,0.532290647161046,0,0.5,0,0,0,0,0.5,0,0,3,"C4:G3 50/50",18.3333333333333,0.418181818181818,"Collagen IVGalectin 3 50/50"
"1164","Collagen IVGalectin 3","50/50","1kPa","BAA3DPe2",14,"6",8,11,"20 uM","C4:G3",5,3.46410161513775,1.29727343266667,1.12347174834397,4.76190476333333,8.24786099089758,0.158285167,NA,0.0328240313333333,NA,99.61904762,NA,0.985360618666667,NA,0.524775174,NA,1.04206042133333,NA,2.137140125,NA,0.950098154666667,NA,0.190476190333333,NA,0,0.5,0,0,0,0,0.5,0,0,2,"C4:G3 50/50",18.3333333333333,0.272727272727273,"Collagen IVGalectin 3 50/50"
"1165","Collagen IVGalectin 3","50/50","1kPa","BAA3DPe2",1,"3",8,11,"DMSO","C4:G3",11.6666666666667,5.68624070307733,2.37962233333333,0.476920313068493,70.8994709,25.2142911262924,0.186965894666667,0.0807855788690714,0.237603908666667,0.201381612741514,122.871428566667,60.5465076040429,1.10948414433333,0.136990820901941,0.682433386333333,0.127722387189859,0.913416002666667,0.108151015488428,2.221138671,0.385333549015382,0.930151507333333,0.0400489619896233,1.46984127,1.27200212962173,0,0.5,0,0,0,0,0.5,0,0,1,"C4:G3 50/50",18.3333333333333,0.636363636363636,"Collagen IVGalectin 3 50/50"
"1166","Collagen IVGalectin 3","50/50","1kPa","BAA3DPe2",5,"4",8,11,"10 uM","C4:G3",18.6666666666667,2.51661147842358,2.920516713,0.137536150092706,5.42502088566667,0.757137094686449,0.199686857333333,0.0711888064820092,0.0327560616666667,0.0245714132692126,87.0659461133333,43.1137628914922,1.05094909866667,0.162485785061725,0.592501154,0.176231603510473,0.972489790333333,0.13674496798455,1.97968809066667,0.338423709893047,0.933177432666667,0.035581224900808,1.284043442,1.30650750035256,0,0.5,0,0,0,0,0.5,0,0,1,"C4:G3 50/50",18.3333333333333,1.01818181818182,"Collagen IVGalectin 3 50/50"
"1167","Collagen IVGalectin 3","50/50","1kPa","BAA3DPe2",2,"3",8,11,"DMSO","C4:G3",20.6666666666667,10.6926766215636,2.91130539166667,0.632521225344939,58.3091787433333,22.8812690891954,0.223762008,0.0788642339780786,0.186902327333333,0.137808250901114,87.9404186766667,40.7144568312569,1.073461546,0.168717769245741,0.652110685,0.160018939620799,0.949118353,0.122104362319164,1.96852427866667,0.333481023826974,0.934678518666667,0.0368246134644394,1.55684380033333,1.30537197079751,0,0.5,0,0,0,0,0.5,0,0,2,"C4:G3 50/50",18.3333333333333,1.12727272727273,"Collagen IVGalectin 3 50/50"
"1168","Collagen IVGalectin 3","50/50","25kPa","BAA3DPe1",3,"5",8,5,"20 uM","C4:G3",60,51.2640224719052,3.73669638166667,1.14665404089247,0,0,0.114915304666667,0.0239974736707796,0.0124324946666667,0.00376028004869274,58.01721897,35.3376384082241,0.923480633666667,0.0949512349341589,0.535299122666667,0.167837887761858,1.093073134,0.103413918508346,1.745677707,0.307566147028611,0.945573378333333,0.0346424145205479,0.483430799333333,0.711452668580839,0,0.5,0,0,0,0,0.5,0,0,2,"C4:G3 50/50",653,0.0918836140888208,"Collagen IVGalectin 3 50/50"
"1169","Collagen IVGalectin 3","50/50","25kPa","BAA3DPe1",11,"1",8,5,"DMSO","C4:G3",935.333333333333,182.544058608691,6.82851135166667,0.191591940050433,84.95575821,1.90525606488002,0.312021485333333,0.128711549973772,0.313796156333333,0.190378041026638,80.7557334066667,39.5866933847648,1.08481933233333,0.171209792353512,0.654580334,0.146364547247684,0.940938661666667,0.125076631077539,1.889101768,0.292076517558591,0.915849611666667,0.046828091315644,4.44888785666667,2.60171710022143,0,0.5,0,0,0,0,0.5,0,0,2,"C4:G3 50/50",653,1.43236345074017,"Collagen IVGalectin 3 50/50"
"1170","Collagen IVGalectin 3","50/50","25kPa","BAA3DPe1",5,"2",8,5,"10 uM","C4:G3",178,111.86152153444,5.05950578533333,0.590141119694359,0,0,0.112465777666667,0.0281691255402373,0.0101219566666667,0.004304075860463,62.68349017,26.4862876566424,1.00470344766667,0.132033967902494,0.633602274333333,0.154973696419414,1.01079521,0.117501416904329,1.76684831366667,0.269534804703201,0.930293261,0.0445672484673061,1.32794428566667,1.30653408841747,0,0.5,0,0,0,0,0.5,0,0,1,"C4:G3 50/50",653,0.272588055130168,"Collagen IVGalectin 3 50/50"
"1171","Collagen IVGalectin 3","50/50","25kPa","BAA3DPe1",13,"2",8,5,"10 uM","C4:G3",217.666666666667,62.7402050788275,5.35734009933333,0.271354528142332,0,0,0.0998862726666667,0.0282633454148455,0.0134535596666667,0.00665249800122232,67.46454618,33.0162118973117,0.991719132333333,0.12393335589633,0.63103313,0.146429294710025,1.02273879233333,0.114487948412255,1.81362230333333,0.289419669390647,0.936522973,0.0387642110124934,1.27605125466667,1.2582271276233,0,0.5,0,0,0,0,0.5,0,0,2,"C4:G3 50/50",653,0.333333333333333,"Collagen IVGalectin 3 50/50"
"1172","Collagen IVGalectin 3","50/50","25kPa","BAA3DPe1",7,"5",8,5,"20 uM","C4:G3",89,99.0807751281751,4.00422735066667,1.24287791752042,0,0,0.12743827,0.0234642620715995,0.00915254033333333,0.00315194427652568,53.5638710933333,22.9568748576381,0.926697588,0.10632187189697,0.536305658666667,0.15638755863147,1.09255895566667,0.115858476298582,1.71291407466667,0.22187179411667,0.945380717,0.0348328322012119,0.889236717666667,1.07352878245883,0,0.5,0,0,0,0,0.5,0,0,3,"C4:G3 50/50",653,0.136294027565084,"Collagen IVGalectin 3 50/50"
"1173","Collagen IVGalectin 3","50/50","25kPa","BAA3DPe1",10,"1",8,5,"DMSO","C4:G3",673.666666666667,410.015040374537,6.31084433333333,0.869134635147412,83.0213629766667,7.45007686746532,0.318441814333333,0.149130605895411,0.227298960666667,0.13125666880509,112.291257873333,56.7413070184134,1.129209266,0.168691949789582,0.654592709666667,0.147847900061234,0.903704301333333,0.119488167709855,2.11101376166667,0.369751888145022,0.916279972333333,0.0456538446051361,4.41593495633333,2.392862935816,0,0.5,0,0,0,0,0.5,0,0,1,"C4:G3 50/50",653,1.03164880040837,"Collagen IVGalectin 3 50/50"
"1174","Collagen IVGalectin 3","50/50","25kPa","BAA3DPe1",14,"2",8,5,"10 uM","C4:G3",194,98.9090491310072,5.14412031033333,0.660425404384001,0,0,0.107567512,0.0292889303988535,0.012574504,0.00328043925747356,66.2318910633333,29.8950463119815,0.989556709333333,0.110655755032793,0.621397414333333,0.1577153363306,1.022581694,0.104295553169486,1.80720964433333,0.259293963969289,0.936269925333333,0.0368844844394645,1.31400910533333,1.33589375653854,0,0.5,0,0,0,0,0.5,0,0,3,"C4:G3 50/50",653,0.297090352220521,"Collagen IVGalectin 3 50/50"
"1175","Collagen IVGalectin 3","50/50","25kPa","BAA3DPe1",17,"1",8,5,"DMSO","C4:G3",350,104.096109437385,5.82915452133333,0.291904531235122,82.0396128633333,4.57942974151628,0.342225632,0.180288431129785,0.304209247333333,0.212188281716679,127.1991784,64.1750923463368,1.157744511,0.175721999031197,0.661212344,0.141066689618493,0.881252247333333,0.11737374848537,2.21211051333333,0.402173160214034,0.91259356,0.0512099837174377,4.28883202366667,2.34174762294453,0,0.5,0,0,0,0,0.5,0,0,3,"C4:G3 50/50",653,0.535987748851455,"Collagen IVGalectin 3 50/50"
