"","Metadata_Slide","Metadata_Stiffness","Metadata_Experiment","Metadata_Row","Metadata_Treatment","Metadata_Column","Metadata_Ratio","Metadata_ECMs","Abb_ECM","Mean_Nuclei","SD_Nuclei","Mean_logNuclei","SD_logNuclei","Mean_Green","SD_Green","Mean_Green_Norm","SD_Green_Norm","Mean_Red","SD_Red","Mean_Red_Norm","SD_Red_Norm","Mean_Orange","SD_Orange","Mean_Orange_Norm","SD_Orange_Norm"
"1529","14","25kPa","E2","02","DMSO","10","50/50","Tenascin CDecorin","TCDN",6.5,2.12132034355964,1.84443972705697,0.332342753421947,0.137780383117934,0.0592407346098393,0.161191304074986,0.0637457094236594,0.0716912973511579,0.0326764305965616,0.0791620408632006,0.0387527204333034,0.145283939556035,0.0467137798411934,0.193671761356527,0.0651886447683045
"1530","14","25kPa","E2","02","DMSO","11","25/75","Collagen ICollagen IV","C1C4",3,NA,1.09861228866811,NA,0.100478252951804,0.00424457547826016,0.122171634449934,0.00474642596673122,0.0506591975623094,0.0355786003977192,0.0547405932067573,0.0416607558192407,0.0817274423202733,0.00302031975523512,0.106927136027846,0.00368408756336842
"1531","14","25kPa","E2","02","DMSO","12","25/75","Collagen IFibronectin","C1FN",3.5,0.707106781186548,1.242453324894,0.203421944256454,0.156807630415659,0.0198782606800803,0.182192940086205,0.0212012127664855,0.111281633784733,0.0314579021799361,0.125390204069435,0.0362096037273699,0.19771572049617,0.0167597984742617,0.274002081752161,0.0280777868090264
"1532","14","25kPa","E2","03","DMSO","02","25/75","Tenascin CFibronectin","TCFN",371,57.9827560572969,5.91005800190503,0.156928699309455,0.109818057271778,0.0373620781643004,0.131345304124369,0.0402455343503105,0.0674371269306963,0.0453970388970597,0.0741625509317877,0.0523716988376033,0.106567874821968,0.0354018512216173,0.140178532644333,0.0498100898582115
"1533","14","25kPa","E2","03","DMSO","03","25/75","Collagen IVHyaluronic Acid","C4HA",96.5,61.5182899632296,4.45596716808071,0.686848531863338,0.125581280266362,0.0461539515478841,0.147252014644874,0.0488632341309555,0.0678065016898349,0.0407642255254515,0.0746243425844622,0.0473974697949078,0.0965179252900519,0.03412894809475,0.127795771834424,0.0447743802353345
"1534","14","25kPa","E2","03","DMSO","04","75/25","DecorinGalectin 3","DNG3",22.5,13.4350288425444,3.01534263013063,0.636952274610237,0.119957552357074,0.0447523842267615,0.140330794514366,0.0501874916564852,0.0723231917390889,0.0313910570267473,0.079210824463884,0.0367824387565824,0.14058835296601,0.108450401137313,0.200389285729905,0.174341384348118
"1535","14","25kPa","E2","03","DMSO","05","75/25","OsteopontinFibronectin","OPNFN",198,28.2842712474619,5.28313930654059,0.143338685111213,0.164300563235178,0.0605205167976281,0.18902340415868,0.0618654734416276,0.0901262510582858,0.0648068350949992,0.100324204905664,0.0732641854070256,0.128393926257428,0.0530724748983937,0.171127578668539,0.0782635410663928
"1536","14","25kPa","E2","03","DMSO","06","75/25","Collagen ITenascin C","C1TC",140,7.07106781186548,4.9410042604295,0.0505291180083397,0.169040309264183,0.0440907960294185,0.19457493712921,0.045237422671964,0.0840028526979446,0.0403277726098769,0.0936361152282431,0.0467321731082234,0.124665062404822,0.0298577056781037,0.163837117618387,0.0426954015197456
"1537","14","25kPa","E2","03","DMSO","07","75/25","Hyaluronic AcidOsteopontin","HAOPN",25.5,17.6776695296637,3.10126775859396,0.758468756631729,0.136255460914909,0.0565356218047018,0.157281398307044,0.0582255022083189,0.0611089139719075,0.0388584757661439,0.0667708986969369,0.0450086821438763,0.129809610346527,0.0316344962360283,0.182449041418805,0.049879450853779
"1538","14","25kPa","E2","03","DMSO","08","75/25","Tenascin CHyaluronic Acid","TCHA",274,14.142135623731,5.61246167065376,0.0516365681660921,0.163831103320088,0.0526217995362471,0.18851756767104,0.0534887940759027,0.0781479486814127,0.0357341639453926,0.0868492716202542,0.041437524017653,0.122072970802432,0.039612178966531,0.16462058618432,0.0629566259164393
