,.y.,group1,group2,p,p.adj,p.format,p.signif,method
142,Mean_Orange_Norm,HAFN,LNFN,0.792522646,1,0.79252,ns,Wilcoxon
143,Mean_Orange_Norm,HAFN,C1G3,0.758215644,1,0.75822,ns,Wilcoxon
144,Mean_Orange_Norm,HAFN,C4HA,0.634173989,1,0.63417,ns,Wilcoxon
145,Mean_Orange_Norm,HAFN,G3FN,0.862275858,1,0.86228,ns,Wilcoxon
146,Mean_Orange_Norm,HAFN,C4FN,0.198489351,1,0.19849,ns,Wilcoxon
147,Mean_Orange_Norm,HAFN,C1OPN,0.194570134,1,0.19457,ns,Wilcoxon
148,Mean_Orange_Norm,HAFN,DNFN,0.259430745,1,0.25943,ns,Wilcoxon
149,Mean_Orange_Norm,HAFN,C4G3,0.02870202,1,0.0287,*,Wilcoxon
150,Mean_Orange_Norm,HAFN,LNHA,0.933106647,1,0.93311,ns,Wilcoxon
151,Mean_Orange_Norm,HAFN,G3,0.21439143,1,0.21439,ns,Wilcoxon
152,Mean_Orange_Norm,HAFN,DNG3,0.758215644,1,0.75822,ns,Wilcoxon
153,Mean_Orange_Norm,HAFN,C1LN,0.092352889,1,0.09235,ns,Wilcoxon
154,Mean_Orange_Norm,HAFN,TCG3,0.626210225,1,0.62621,ns,Wilcoxon
155,Mean_Orange_Norm,HAFN,TCFN,0.924212507,1,0.92421,ns,Wilcoxon
156,Mean_Orange_Norm,HAFN,C1TC,0.223204873,1,0.2232,ns,Wilcoxon
157,Mean_Orange_Norm,HAFN,C4LN,0.027870905,1,0.02787,*,Wilcoxon
158,Mean_Orange_Norm,HAFN,C1FN,0.968754792,1,0.96875,ns,Wilcoxon
159,Mean_Orange_Norm,HAFN,C4TC,0.175812937,1,0.17581,ns,Wilcoxon
160,Mean_Orange_Norm,HAFN,C4DN,0.036140447,1,0.03614,*,Wilcoxon
161,Mean_Orange_Norm,HAFN,TCOPN,0.942009041,1,0.94201,ns,Wilcoxon
162,Mean_Orange_Norm,HAFN,TCHA,0.083859611,1,0.08386,ns,Wilcoxon
163,Mean_Orange_Norm,HAFN,C1HA,0.22752672,1,0.22753,ns,Wilcoxon
164,Mean_Orange_Norm,HAFN,LNTC,0.853486711,1,0.85349,ns,Wilcoxon
165,Mean_Orange_Norm,HAFN,HA,0.157814617,1,0.15781,ns,Wilcoxon
166,Mean_Orange_Norm,HAFN,HADN,0.541592069,1,0.54159,ns,Wilcoxon
167,Mean_Orange_Norm,HAFN,LNOPN,0.995535295,1,0.99554,ns,Wilcoxon
168,Mean_Orange_Norm,HAFN,TC,0.32766604,1,0.32767,ns,Wilcoxon
169,Mean_Orange_Norm,HAFN,DN,0.21439143,1,0.21439,ns,Wilcoxon
170,Mean_Orange_Norm,HAFN,OPN,0.304681951,1,0.30468,ns,Wilcoxon
171,Mean_Orange_Norm,HAG3,LNG3,0.217781536,1,0.21778,ns,Wilcoxon
172,Mean_Orange_Norm,HAG3,TCDN,0.924212507,1,0.92421,ns,Wilcoxon
173,Mean_Orange_Norm,HAG3,C4OPN,0.039319691,1,0.03932,*,Wilcoxon
174,Mean_Orange_Norm,HAG3,C1,0.251884999,1,0.25188,ns,Wilcoxon
175,Mean_Orange_Norm,HAG3,OPNG3,0.067026313,1,0.06703,ns,Wilcoxon
176,Mean_Orange_Norm,HAG3,C4,0.751108689,1,0.75111,ns,Wilcoxon
177,Mean_Orange_Norm,HAG3,HAOPN,0.650226884,1,0.65023,ns,Wilcoxon
178,Mean_Orange_Norm,HAG3,FN,0.680864561,1,0.68086,ns,Wilcoxon
179,Mean_Orange_Norm,HAG3,OPNDN,0.915327714,1,0.91533,ns,Wilcoxon
180,Mean_Orange_Norm,HAG3,OPNFN,0.449454594,1,0.44945,ns,Wilcoxon
181,Mean_Orange_Norm,HAG3,LNDN,0.053048023,1,0.05305,ns,Wilcoxon
182,Mean_Orange_Norm,HAG3,LNFN,0.456215202,1,0.45622,ns,Wilcoxon
183,Mean_Orange_Norm,HAG3,C1G3,0.618289274,1,0.61829,ns,Wilcoxon
184,Mean_Orange_Norm,HAG3,C4HA,0.801164601,1,0.80116,ns,Wilcoxon
185,Mean_Orange_Norm,HAG3,G3FN,0.534188246,1,0.53419,ns,Wilcoxon
186,Mean_Orange_Norm,HAG3,C4FN,0.090168188,1,0.09017,ns,Wilcoxon
187,Mean_Orange_Norm,HAG3,C1OPN,0.758215644,1,0.75822,ns,Wilcoxon
188,Mean_Orange_Norm,HAG3,DNFN,0.103912587,1,0.10391,ns,Wilcoxon
189,Mean_Orange_Norm,HAG3,C4G3,0.008559587,1,0.00856,**,Wilcoxon
190,Mean_Orange_Norm,HAG3,LNHA,0.650226884,1,0.65023,ns,Wilcoxon
191,Mean_Orange_Norm,HAG3,G3,0.165780945,1,0.16578,ns,Wilcoxon
192,Mean_Orange_Norm,HAG3,DNG3,0.366820337,1,0.36682,ns,Wilcoxon
193,Mean_Orange_Norm,HAG3,C1LN,0.024015881,1,0.02402,*,Wilcoxon
194,Mean_Orange_Norm,HAG3,TCG3,0.186900464,1,0.1869,ns,Wilcoxon
195,Mean_Orange_Norm,HAG3,TCFN,0.449454594,1,0.44945,ns,Wilcoxon
196,Mean_Orange_Norm,HAG3,C1TC,0.897590512,1,0.89759,ns,Wilcoxon
197,Mean_Orange_Norm,HAG3,C4LN,0.010497264,1,0.0105,*,Wilcoxon
198,Mean_Orange_Norm,HAG3,C1FN,0.54904612,1,0.54905,ns,Wilcoxon
199,Mean_Orange_Norm,HAG3,C4TC,0.063686072,1,0.06369,ns,Wilcoxon
200,Mean_Orange_Norm,HAG3,C4DN,0.010149773,1,0.01015,*,Wilcoxon
