"","Abb_ECM","Metadata_Ratio","Mean_Green","Mean_Orange","Mean_Red"
"34","C4G3","50/50",0.13460469921619,0.0860475596110982,0.0779704984545971
"35","C4G3","75/25",0.116969695093972,0.0802063654258406,0.0708447127673452
"36","C4HA","25/75",0.147740976970153,0.109651711163206,0.0853559010241374
"37","C4HA","50/50",0.156753660918752,0.12117813895684,0.0836153847692666
"38","C4HA","75/25",0.17124747549111,0.112168319133257,0.0875019981189435
"39","C4LN","25/75",0.149201404596,0.0971603181939442,0.0827193556834555
"40","C4LN","50/50",0.163376187149647,0.122120648692083,0.0978429155436079
"41","C4LN","75/25",0.135015963170471,0.0733196814732544,0.0814990243702614
"42","C4OPN","25/75",0.150624678257127,0.0931457526065746,0.0882821051811538
"43","C4OPN","50/50",0.161933248609208,0.110075092950997,0.0982158897225183
"44","C4OPN","75/25",0.134510582959305,0.0807407950277788,0.0698882613131572
"45","C4TC","25/75",0.17464071246544,0.0964764807172613,0.102534646052531
"46","C4TC","50/50",0.171176439887624,0.0995157700133654,0.0963372042357168
"47","C4TC","75/25",0.162608916655884,0.105932398499241,0.0940960255322573
"48","DN","100",0.136618117457946,0.089594521427222,0.0700640991348558
"49","DNFN","25/75",0.14078689996408,0.0990273926194784,0.0729580287998575
"50","DNFN","50/50",0.138763475295219,0.112700506658952,0.0820383999070653
"51","DNFN","75/25",0.134707776456027,0.0839121412250379,0.0690485891806175
"52","DNG3","25/75",0.137874484847162,0.085350108095924,0.0848647781661084
"53","DNG3","50/50",0.149670266199921,0.101669458956122,0.0785568684718715
"54","DNG3","75/25",0.148629567642789,0.145502901223589,0.0753479837886504
"55","FN","100",0.135573593947166,0.114509725355606,0.0768652774627252
"56","G3","100",0.133128601869276,0.0936321756123684,0.0739429507198067
"57","G3FN","25/75",0.163111453541859,0.112885911263995,0.0856375919843982
"58","G3FN","50/50",0.135668708784251,0.0828252872800964,0.0729664184360772
"59","G3FN","75/25",0.168582377038342,0.133859345895102,0.0935703383983472
"60","HA","100",0.14402997036981,0.125396605458462,0.0766513054243459
"61","HADN","25/75",0.137532444537437,0.0973841940625284,0.0716492416179635
"62","HADN","50/50",0.152639585474697,0.120219545127863,0.0800167442180402
"63","HADN","75/25",0.190578214574595,0.131302626399735,0.100804349320778
"64","HAFN","25/75",0.18525076888177,0.153393650102172,0.0967022495587407
"65","HAFN","50/50",0.130130375924618,0.0871844535286784,0.0698207942542077
"66","HAFN","75/25",0.150079611149411,0.0979020609654599,0.079218155542823
"67","HAG3","25/75",0.165854681719822,0.11843958947397,0.0934382252600083
"68","HAG3","50/50",0.148098887338134,0.105859957541678,0.0751866701288189
"69","HAG3","75/25",0.156435630749229,0.143049854443169,0.0762161805295538
"70","HAOPN","25/75",0.149263731626846,0.116033640808134,0.0743079026513814
"71","HAOPN","50/50",0.163984701603797,0.116412771187356,0.0892303107312148
"72","HAOPN","75/25",0.16929136962235,0.127855137494507,0.0913151610302021
"73","LN","100",0.163582751714623,0.171895480338972,0.0801898201554947
"74","LNDN","25/75",0.195601389257998,0.168298329492895,0.0975023082678657
"75","LNDN","50/50",0.162947961313878,0.113811914830551,0.0890984449908888
"76","LNDN","75/25",0.188369527342006,0.150920923851303,0.0976980783476264
"77","LNFN","25/75",0.167278489664406,0.114263475038522,0.0872065664514517
"78","LNFN","50/50",0.154052655225398,0.102936381788465,0.0862284191295863
"79","LNFN","75/25",0.166243534812857,0.111559116184117,0.0944196413516412
"80","LNG3","25/75",0.178480099586707,0.140742400050041,0.0918691707829247
"81","LNG3","50/50",0.147796617343811,0.129493043637946,0.0696981665386971
"82","LNG3","75/25",0.168528521095885,0.142353288256739,0.0990063368732091
"83","LNHA","25/75",0.166413985407432,0.106353223634058,0.0918297935138401
"84","LNHA","50/50",0.144033489291235,0.093375944647102,0.0759430133271591
"85","LNHA","75/25",0.192841527810808,0.140308945493052,0.0874844709061256
"86","LNOPN","25/75",0.17230201372238,0.105822696077741,0.0945807539418938
"87","LNOPN","50/50",0.16535096225145,0.104028709463372,0.0883048158356054
"88","LNOPN","75/25",0.170149313821287,0.108061513373168,0.0966051334333792
"89","LNTC","25/75",0.140192658559249,0.0924983788536371,0.0686892370270362
"90","LNTC","50/50",0.168514412240832,0.111310075884838,0.0874411792054207
"91","LNTC","75/25",0.172562484532149,0.115597372344706,0.0894745089131593
"92","OPN","100",0.15421738606855,0.0966889131657055,0.0904123928251459
"93","OPNDN","25/75",0.135882582937642,0.106185093824537,0.0719472140685844
"94","OPNDN","50/50",0.144608248819873,0.105814861075292,0.0813004843349031
"95","OPNDN","75/25",0.180312007160855,0.165640227174437,0.0826946228931109
"96","OPNFN","25/75",0.181305847811284,0.127149175153929,0.0925945384988498
"97","OPNFN","50/50",0.168725239093162,0.125751605308145,0.0875936170819994
"98","OPNFN","75/25",0.175509007886369,0.129468341163466,0.0932786703785397
"99","OPNG3","25/75",0.159214797487511,0.140627810586565,0.0971267321957586
"100","OPNG3","50/50",0.177226772681215,0.173814707699043,0.104388408193479
"101","OPNG3","75/25",0.154155882952914,0.123730236988397,0.0926065483233561
"102","TC","100",0.134250852545422,0.089811676458026,0.0729366929216764
"103","TCDN","25/75",0.14842182575464,0.0992398640038144,0.0820688361334739
"104","TCDN","50/50",0.142985422807277,0.139780158041754,0.0762045948233546
"105","TCDN","75/25",0.166772632354688,0.105602067133585,0.0859383718180756
