,Metadata_Stiffness,ConditionStiff,Mean_Red_Norm,Mean_Green_Norm,Rank_Red,Rank_Green,Difference in Rank
132,25kPa,C1HA50/50_25kPa,0.061952236,0.135392525,112,95,17
133,25kPa,C1HA75/25_25kPa,0.084429987,0.152324372,41,52,11
134,25kPa,C1LN25/75_25kPa,0.097208611,0.179640727,8,15,7
135,25kPa,C1LN50/50_25kPa,0.086426834,0.14324645,35,74,39
136,25kPa,C1LN75/25_25kPa,0.08665575,0.14207808,34,77,43
137,25kPa,C1OPN25/75_25kPa,0.077491292,0.132322943,63,101,38
138,25kPa,C1OPN50/50_25kPa,0.106409051,0.172667184,2,20,18
139,25kPa,C1OPN75/25_25kPa,0.08068506,0.180051652,54,13,41
140,25kPa,C1TC25/75_25kPa,0.095602592,0.199951361,10,2,8
141,25kPa,C1TC50/50_25kPa,0.096432243,0.182073808,9,10,1
142,25kPa,C1TC75/25_25kPa,0.090811677,0.162429522,21,28,7
143,25kPa,C4100_25kPa,0.08742594,0.140752414,29,80,51
144,25kPa,C4DN25/75_25kPa,0.063348602,0.112070072,109,116,7
145,25kPa,C4DN50/50_25kPa,0.075970956,0.139581804,68,86,18
146,25kPa,C4DN75/25_25kPa,0.0863766,0.137328266,37,92,55
147,25kPa,C4FN25/75_25kPa,0.078969485,0.154437732,57,44,13
148,25kPa,C4FN50/50_25kPa,0.07631157,0.133839087,66,100,34
149,25kPa,C4FN75/25_25kPa,0.08632276,0.144795824,38,71,33
150,25kPa,C4G325/75_25kPa,0.086045159,0.138501916,39,87,48
151,25kPa,C4G350/50_25kPa,0.081348356,0.143749651,51,72,21
152,25kPa,C4G375/25_25kPa,0.057900066,0.09767893,114,117,3
153,25kPa,C4HA25/75_25kPa,0.06987866,0.13780267,92,89,3
154,25kPa,C4HA50/50_25kPa,0.075431568,0.147949748,70,63,7
155,25kPa,C4HA75/25_25kPa,0.079118689,0.157029368,56,35,21
156,25kPa,C4LN25/75_25kPa,0.072427028,0.137467721,83,90,7
157,25kPa,C4LN50/50_25kPa,0.087157789,0.140348315,30,82,52
158,25kPa,C4LN75/25_25kPa,0.066195224,0.11572986,101,115,14
159,25kPa,C4OPN25/75_25kPa,0.079790909,0.134670988,55,97,42
160,25kPa,C4OPN50/50_25kPa,0.078314165,0.135148255,61,96,35
161,25kPa,C4OPN75/25_25kPa,0.072030271,0.124900026,87,107,20
162,25kPa,C4TC25/75_25kPa,0.089076348,0.146912826,26,66,40
163,25kPa,C4TC50/50_25kPa,0.081025405,0.147559917,52,64,12
164,25kPa,C4TC75/25_25kPa,0.082773197,0.145540321,49,70,21
165,25kPa,DN100_25kPa,0.073793613,0.150437932,74,59,15
166,25kPa,DNFN25/75_25kPa,0.066873865,0.123748599,100,109,9
167,25kPa,DNFN50/50_25kPa,0.083231719,0.142720451,47,75,28
168,25kPa,DNFN75/25_25kPa,0.066909276,0.140647097,99,81,18
169,25kPa,DNG325/75_25kPa,0.075314666,0.121775298,72,111,39
170,25kPa,DNG350/50_25kPa,0.072735055,0.156905968,79,36,43
171,25kPa,DNG375/25_25kPa,0.078620133,0.147426172,59,65,6
172,25kPa,FN100_25kPa,0.092309514,0.14940401,16,60,44
173,25kPa,G3100_25kPa,0.063278302,0.120656849,110,112,2
174,25kPa,G3FN25/75_25kPa,0.072199368,0.154098937,85,45,40
175,25kPa,G3FN50/50_25kPa,0.063383195,0.123553202,108,110,2
176,25kPa,G3FN75/25_25kPa,0.086394677,0.16359712,36,27,9
177,25kPa,HA100_25kPa,0.076084567,0.152191346,67,53,14
178,25kPa,HADN25/75_25kPa,0.057514799,0.13740305,115,91,24
179,25kPa,HADN50/50_25kPa,0.090756603,0.165986373,22,24,2
180,25kPa,HADN75/25_25kPa,0.078719551,0.163971838,58,26,32
181,25kPa,HAFN25/75_25kPa,0.094899581,0.189393383,11,5,6
182,25kPa,HAFN50/50_25kPa,0.067372506,0.128510709,97,104,7
183,25kPa,HAFN75/25_25kPa,0.083500018,0.151043785,45,57,12
184,25kPa,HAG325/75_25kPa,0.075659985,0.142435186,69,76,7
185,25kPa,HAG350/50_25kPa,0.068596803,0.146766841,94,67,27
186,25kPa,HAG375/25_25kPa,0.067134088,0.156030575,98,41,57
187,25kPa,HAOPN25/75_25kPa,0.071311417,0.146060859,88,69,19
188,25kPa,HAOPN50/50_25kPa,0.088558356,0.169051051,27,21,6
189,25kPa,HAOPN75/25_25kPa,0.073220305,0.155353692,77,43,34
190,25kPa,LN100_25kPa,0.061872686,0.157147976,113,34,79
191,25kPa,LNDN25/75_25kPa,0.093208961,0.185483548,13,7,6
192,25kPa,LNDN50/50_25kPa,0.091749391,0.152757466,18,50,32
193,25kPa,LNDN75/25_25kPa,0.087067686,0.182800503,31,8,23
194,25kPa,LNFN25/75_25kPa,0.073473721,0.15346217,76,47,29
195,25kPa,LNFN50/50_25kPa,0.069982557,0.134513127,91,98,7
196,25kPa,LNFN75/25_25kPa,0.090975499,0.151294486,20,55,35
197,25kPa,LNG325/75_25kPa,0.083428932,0.191644772,46,4,42
198,25kPa,LNG350/50_25kPa,0.062977832,0.15255876,111,51,60
199,25kPa,LNG375/25_25kPa,0.097563007,0.180147536,7,11,4
200,25kPa,LNHA25/75_25kPa,0.080992619,0.158886276,53,32,21
201,25kPa,LNHA50/50_25kPa,0.078026626,0.158766307,62,33,29
202,25kPa,LNHA75/25_25kPa,0.076652267,0.182212908,65,9,56
203,25kPa,LNOPN25/75_25kPa,0.081383339,0.150607666,50,58,8
204,25kPa,LNOPN50/50_25kPa,0.07834492,0.152956126,60,48,12
205,25kPa,LNOPN75/25_25kPa,0.125134432,0.201079006,1,1,0
206,25kPa,LNTC25/75_25kPa,0.072493053,0.156022504,82,42,40
207,25kPa,LNTC50/50_25kPa,0.08413754,0.166771841,43,22,21
208,25kPa,LNTC75/25_25kPa,0.088269818,0.186331197,28,6,22
209,25kPa,OPN100_25kPa,0.065098941,0.12618614,104,106,2
