"","Metadata_Stiffness","Metadata_Experiment","Metadata_Row","Metadata_Treatment","Metadata_Column","Metadata_Ratio","Metadata_ECMs","Abb_ECM","Mean_Nuclei","SD_Nuclei","Mean_logNuclei","SD_logNuclei","Mean_Green","SD_Green","Mean_Green_Norm","SD_Green_Norm","Mean_Red","SD_Red","Mean_Red_Norm","SD_Red_Norm","Mean_Orange","SD_Orange","Mean_Orange_Norm","SD_Orange_Norm"
"832","25kPa","E2","07","DMSO","10","25/75","Collagen IVFibronectin","C4FN",39,NA,3.18568725810367,NA,0.119701409821446,0.0530227688128347,0.139068439211777,0.0561407313242315,0.0942658373920287,0.0695827758673613,0.103911515632325,0.078214240678074,NA,NA,0.0929790747622912,0.0155036178996576
"833","25kPa","E2","07","DMSO","11","75/25","Tenascin CDecorin","TCDN",11.3333333333333,7.01585505994973,2.1914067652751,0.592698768861146,0.13428382079907,0.0493877801884365,0.15375225180029,0.0495397434251223,0.06540620448652,0.0390056268683833,0.0709602454544398,0.0449038576352896,NA,NA,0.111203977146571,0.00757240871859261
"834","25kPa","E2","07","DMSO","12","25/75","Collagen IVOsteopontin","C4OPN",11.2222222222222,11.7520683758695,1.81277200206507,0.716314801972993,0.109925524813717,NA,0.129987145644116,NA,0.0630592159450896,NA,0.0686843776841366,NA,NA,NA,0.141409941224646,NA
"835","25kPa","E2","08","10 uM","02","75/25","Galectin 3Fibronectin","G3FN",88.2222222222222,11.7094453801669,4.42514171061618,0.166551709741256,0.125392402368008,0.0367378715647157,0.146536277152676,0.037732831373783,0.0619335649936435,0.0298382702981185,0.0675356089389287,0.0344304399041174,0.0902302054911269,0.0319528726428869,0.0833119000420482,0.0118634044962205
"836","25kPa","E2","08","10 uM","03","75/25","OsteopontinDecorin","OPNDN",195.333333333333,28.581268146968,5.25232842737972,0.166882788710895,0.0994711109799555,0.0287052138634776,0.118444096340602,0.0309678023003718,0.0450281558914629,0.0249107087003833,0.0478196036355371,0.0288810890694692,0.0554041482975328,0.0186828968344047,0.0598707264854837,0.01225909687269
"837","25kPa","E2","08","10 uM","04","25/75","Collagen IDecorin","C1DN",69,16.8720676464584,4.16518358412861,0.234236749920928,0.13033883865327,0.0389462976490362,0.151943974487288,0.039677849855676,0.0606567935541437,0.0329552241044444,0.0660525703044269,0.0379478628850925,0.0670241792761185,0.0211654881638057,0.0676316906839095,0.0135100288884409
"838","25kPa","E2","08","10 uM","05","75/25","Collagen IVOsteopontin","C4OPN",9.66666666666667,9.89949493661167,1.67211536455879,1.18000364141795,0.112901274243168,NA,0.13140365545677,NA,0.0495387936337139,NA,0.0522252509381864,NA,0.066499438344545,NA,0.063458346530994,NA
"839","25kPa","E2","08","10 uM","06","25/75","Collagen IVGalectin 3","C4G3",127.333333333333,22.8254244210267,4.67550150765836,0.183035161309688,0.123743509126251,0.0362392148113932,0.14530626111956,0.0379554753254304,0.0580076673550221,0.0283359114171483,0.0629430882687756,0.0327441943295803,0.062901359924513,0.0195844331360586,0.0663952013354663,0.0124832795174736
"840","25kPa","E2","08","10 uM","07","75/25","Collagen ICollagen IV","C1C4",11.5555555555556,7.03957069398096,2.04347316937589,0.744082681598583,0.11908241011863,NA,0.13892789225425,NA,0.0397948001927166,NA,0.0425694825463755,NA,0.0787965109687186,NA,0.0689809646838355,NA
"841","25kPa","E2","08","10 uM","08","75/25","Hyaluronic AcidFibronectin","HAFN",19.5555555555556,25.405598683055,2.29700834360245,1.3279214372911,0.131160770432212,0.0405103060726118,0.151497142448312,0.0429138016108644,0.0583942399895928,0.0256458428076459,0.0637143370359813,0.0295719267154987,0.0863237513891038,0.0246624716513893,0.0759751233710927,0.0152728735688537
